Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0x4d22f5409d0f7ea11b23d7ef8734ba95481fa2e2,"12,948","19,026","10,124","47,831",
0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e,"28,248","3,420","3,172","38,662",
0x5e8e66df40e58f3a96142aca5329575e5f638e75,"27,595","2,324","2,347","34,177",
0x9cd85b5baa3fc6c5ff93ebd0c00f1c56c6bf4ecb,"9,881","12,942","6,832","29,655",
0xce879e012228ea8024fb79f269c3c9facc053dce,"7,541","14,223","6,963","28,727",
0xa24c93429a37626d83f8be4d90c4f37e07a9e483,"20,554","2,097","1,846","24,497",
0xe7a3de8f8e8f530b597cb512cc4e0d3f878811ca,"15,686","2,097","4,328","22,111",
0x39f4da389fef57165bd470eb422c755e271f785b,"12,948","5,429","2,989","21,366",
0x3f3bcee79d75d3580af8564ec2b9ea3cb68daf38,"9,881","4,032","7,077","20,990",
0xca7ddbc8ec13cc691e5145a26d0f655ed5df51ec,"15,686","1,979","3,218","20,883",
0x14b2fc4bfdae7699105c05419dc4b29bda419c1c,"16,546","1,979","2,307","20,832",
0x33fe721eff0eb8049be2702f722583b21add02ff,"15,686","1,979","2,214","19,879",
0xe26e0064d7d6a70928df53df71f83e5fb2de2972,"14,802","1,979","2,173","18,954",
0x167dab76621ea54841a2ecd15281df2c7bcee773,"14,802","1,857","1,771","18,430",
0xd05c2b64551275169235a93826ac4cec0553c409,"14,802","1,857","1,616","18,275",
0x27d099811425a31120cf4783df093c404978b849,"13,891","1,857","1,948","17,696",
0x2b43abe7f5363807d0b932e5ed0bf538edd7d043,"12,948","2,097","1,816","16,861",
0xdacd3eb62e404df956810f67682042ab7bdccc28,"6,225","3,511","6,778","16,514",
0xc89cabb7817a66ec8ba3f1f20b53c85f0de1327f,"9,881","2,433","2,871","15,185",
0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309,"7,541","1,979","4,338","13,858",
0x4ad611617a481697c8177655705879a01d1857eb,"8,751","1,857","2,665","13,273",
0x10fb1560037db5e360e8883d023b4ff7a33db8a8,"6,225","2,540","4,063","12,828",
0x4c6604c588b205e06cba671616f7db3bdf7ac3e6,"6,225","1,857","3,932","12,014",
0x32ad8b18bda67b79f30ed2bdedb81bc0d5c11f95,"6,225","1,979","3,000","11,204",
0x7b4a55ba007691f5846c81ffe1fc0c973f406094,"6,225","1,979","2,787","10,991",
0x9680ccd67c2bc3aff8c5125babefb4412a23496d,"7,541","1,857","1,470","10,868",
0xe03a1c38a8ce6a7d8c34ca19c928ef97258cf99b,0,"3,776","6,615","10,391",
0xea204f40c43879da2581805a5d4c78a3933b3d7b,"6,225","2,212","1,890","10,327",
0x278bf1d03ffb362766f57ec580ab7eda8adc6e29,"4,751","2,324","1,890","8,965",
0x29fe62a86bc5d17c5af22cb6d8d44b34e0c46267,"4,751","1,857","2,307","8,915",
0xe3cd3a4997c1238543c9583a66c6d6be369c4fed,"2,993","1,979","3,438","8,410",
0x0cb6c036b411b30a04424a35aa3ab83602ab4633,"2,993","2,748","2,628","8,369",
0xbc67cfffaddd07bcbb784369994496d130ba7956,"2,993","1,979","3,161","8,133",
0x58a142b530b72d1ff1258438a500ea74fac1cef5,0,"2,540","4,991","7,531",
0xf63c11852f601dcf9e8d39b4b9b13f12f8374112,0,"1,857","5,535","7,392",
0xf37eb3eafa07b135961b99f71ec51da134df7434,"2,993","2,097","2,159","7,249",
0x315963e514d6c7d86538607919d02b76b053df64,"2,993","1,979","2,076","7,048",
0xfe1a957ace79a2f35c912ef7f3667e2f9d24220d,"2,993","1,170","2,641","6,804",
0x607c77eadb523bbdd3249b87697626fa18ab0cac,0,"1,857","4,754","6,611",
0x3a57689b86012f91e7a1869c014f0d534bb4e3ca,"2,993","1,008","2,187","6,188",
0x68d977bacee563e219d9a139ad202bb54b758ceb,0,"2,097","3,891","5,988",
0xf6df82cdef852f26d4c27843b3fd37445bcf7770,0,"3,511","2,307","5,818",
0x2e6ef714225ae97647305fe6e3d23adebf95161f,"4,751",0,807,"5,558",
0x06b3340454841a68bdf594525f3bfb52c4d79eda,"4,751",0,564,"5,315",
0x2cf7fc1b570143f60bd5b5578caf589062755354,0,"2,212","3,000","5,212",
0x83d96020b0766f567afd2e19b5f62ef6dd4026d5,"2,993",0,"2,173","5,166",
0x76be896ed0498de015dae18ca31b4cacbefeaf86,"2,993","1,170",998,"5,161",
0x145a97d38e5746b48b3543f80783fb30a3d69c52,0,"1,979","3,035","5,014",
0xbf4824313d6e56e62121f50c98432506e6393f4e,0,"2,097","2,907","5,004",
0x9f7e343a80fb7bf66171b74cc2f3c76584acfe60,0,"1,857","2,989","4,846",
0x5ef5c8e74c4787d5c93cfcd17790337ecec94344,"2,993","1,170",666,"4,829",
0xcd14e7702e477fc76180a996b578a2290a1fed1d,0,"1,857","2,965","4,822",
